Name,starRating,Komment,reviews.createTime,review_clean,sentiment,rating_num,YearMonth,text_len,word_count
Karl Frühauf,FIVE,"Ich bin mit dem Service sehr zufrieden

(Translated by Google)
I am very satisfied with the service",2025-06-27 07:34:26.963,"ich bin mit dem service sehr zufrieden

translated by google
i am very satisfied with the service",pos,5,2025-06,97,17
Judith Baum,FIVE,"gutes Preis - Leistungsverhältnis, der Kundendienst ist dabei, noch besser zu werden.

(Translated by Google)
good price-performance ratio, customer service is getting even better.",2025-06-24 11:21:21.697,"gutes preis  leistungsverhltnis der kundendienst ist dabei noch besser zu werden

translated by google
good priceperformance ratio customer service is getting even better",pos,5,2025-06,170,23
Matta Botros,FIVE,"preise ok,kunden freundlich,kommen immer entgegen !

(Translated by Google)
Prices are ok, customers are friendly, always accommodating!",2025-06-16 07:24:37.607,"preise okkunden freundlichkommen immer entgegen 

translated by google
prices are ok customers are friendly always accommodating",pos,5,2025-06,128,16
Iris Schneider,THREE,"Ab und zu ist der Kundendienst nicht kompetent für spezielle Fragen.z.B. beim Wechsel einer Kontonummer betreffend Abbuchung der Rechnung sagen sie man muss es selber  machen im Internet, hab ich versucht zu machen und es ist nicht gegangen. Wobei bei Anderen Anbietern kann man das telefonisch machen. Speziell wenn man schon etwas älter ist,  ich war verzweifelt.........

(Translated by Google)
Sometimes customer service isn't competent enough to answer specific questions. For example, when changing an account number regarding bill deductions, they say you have to do it yourself online. I tried that, but it didn't work. Other providers, however, allow you to do it over the phone. Especially if you're a bit older, I was desperate...",2025-06-09 06:12:36.403,"ab und zu ist der kundendienst nicht kompetent fr spezielle fragenzb beim wechsel einer kontonummer betreffend abbuchung der rechnung sagen sie man muss es selber  machen im internet hab ich versucht zu machen und es ist nicht gegangen wobei bei anderen anbietern kann man das telefonisch machen speziell wenn man schon etwas lter ist  ich war verzweifelt

translated by google
sometimes customer service isnt competent enough to answer specific questions for example when changing an account number regarding bill deductions they say you have to do it yourself online i tried that but it didnt work other providers however allow you to do it over the phone especially if youre a bit older i was desperate",neu,3,2025-06,705,116
Ralf Mader,FIVE,"Gutes Transparentes Unternehmen

(Translated by Google)
Good Transparent Company",2025-06-02 11:06:18.280,"gutes transparentes unternehmen

translated by google
good transparent company",pos,5,2025-06,78,9
Peter Dieterle,ONE,"Schlecht geschulte Mitarbeiter

(Translated by Google)
Poorly trained employees",2025-05-21 09:15:49.023,"schlecht geschulte mitarbeiter

translated by google
poorly trained employees",neg,1,2025-05,77,9
Renate Schöpf,FIVE,"Komplikationsfreie Abwicklung, guter Service, klare verständliche Informationen, Preis Leistung okay, sehr zu empfehlen

(Translated by Google)
Smooth processing, good service, clear and understandable information, good value for money, highly recommended",2025-05-14 08:39:14.153,"komplikationsfreie abwicklung guter service klare verstndliche informationen preis leistung okay sehr zu empfehlen

translated by google
smooth processing good service clear and understandable information good value for money highly recommended",pos,5,2025-05,244,30
ny 143,ONE,"Schreckliche Erfahrung mit diesem Unternehmen. Sie arbeiten nicht gemäß den gesetzlichen Vorschriften. Der Kundenservice ist furchtbar und extrem langsam. Finger weg – ich kann es nicht empfehlen.

(Translated by Google)
Terrible experience with this company. They do not work in accordance with legal regulations. The customer service is terrible and extremely slow. Stay away – I can’t recommend it.",2025-05-04 08:43:43.027,"schreckliche erfahrung mit diesem unternehmen sie arbeiten nicht gem den gesetzlichen vorschriften der kundenservice ist furchtbar und extrem langsam finger weg  ich kann es nicht empfehlen

translated by google
terrible experience with this company they do not work in accordance with legal regulations the customer service is terrible and extremely slow stay away  i cant recommend it",neg,1,2025-05,386,57
Alejandro Saname,ONE,"Nicht empfehlen!!?

(Translated by Google)
Don't recommend!!?",2025-04-22 13:02:09.733,"nicht empfehlen

translated by google
dont recommend",neg,1,2025-04,52,7
Thomas Reisinger,FIVE,"Wir sind zufriedene Kunden und gehen jetzt in unser drittes Jahr bei MAXENERGY. Die Preise sind gut und fair, der Anbieterwechsel hat damals problemlos geklappt, inzwischen haben wir schon zum dritten Mal unseren Tarif bei MAXENERGY geändert, auch das klappte meinst eher problemlos (siehe aber Tipp unten!). Die Abrechnung ist verständlich und klar, auch wenn wir mit dem Wechselbonus bis zur zweiten Abrechnung warten mussten, weil bei der ersten noch keine 12 Monate vorbei waren (war dann aber verlässlich bei der zweiten Abrechnung nach 1 Jahr 10 Monaten ca dabei). Netzkosten werden getrennt vom Netzanbieter abgerechnet, bei MAXENERGY zahlt man nur den Strom selbst. PV Einspeisung ist nicht möglich. Als Tipp: es ist eindeutig ratsamer, eine Email an das Kundenservice zu schreiben als dort anzurufen. Mit Anrufen sind wir oft nicht so zufrieden gewesen oder es wurde nicht das umgesetzt, was besprochen wurde, die versprochenen Schritte vergessen usw usw. Per Email klappt alles immer bestens (und man hat es auch schriftlich, was nie schadet) ;) Auf jeden Fall ist immer schnell ein Mitarbeiter verfügbar, also passt die Kommunikation und Kontaktaufnahme auf jeden Fall, das ist nicht bei allen Anbietern so. Wir finden das Kundenservice gut und sind zufrieden, auch wenn es manchmal ein paar ""Extraschritte/-mühen"" benötigt ;) Weiter so!

(Translated by Google)
We are satisfied customers and are now entering our third year at MAXENERGY. The prices are good and fair, the change of provider went smoothly back then, we have now changed our tariff with MAXENERGY for the third time, and that also worked rather smoothly (but see tip below!). The billing is understandable and clear, even if we had to wait until the second billing to get the switching bonus because the first one wasn't yet 12 months over (but then it was reliably included in the second billing after 1 year, approximately 10 months). Network costs are billed separately by the network provider; with MAXENERGY you only pay for the electricity yourself. PV feed-in is not possible. As a tip: it is clearly more advisable to write an email to customer service than to call them. We were often not so satisfied with calls, or what was discussed wasn't implemented, the promised steps were forgotten, etc. Everything always works perfectly via email (and you also have it in writing, which never hurts) ;) In any case, an employee is always available quickly, so the communication and contact is definitely good, that's not the case with all providers. We think the customer service is good and are satisfied, even if it sometimes requires a few ""extra steps/effort"" ;) Keep it up!",2025-04-10 12:17:38.880,"wir sind zufriedene kunden und gehen jetzt in unser drittes jahr bei maxenergy die preise sind gut und fair der anbieterwechsel hat damals problemlos geklappt inzwischen haben wir schon zum dritten mal unseren tarif bei maxenergy gendert auch das klappte meinst eher problemlos siehe aber tipp unten die abrechnung ist verstndlich und klar auch wenn wir mit dem wechselbonus bis zur zweiten abrechnung warten mussten weil bei der ersten noch keine 12 monate vorbei waren war dann aber verlsslich bei der zweiten abrechnung nach 1 jahr 10 monaten ca dabei netzkosten werden getrennt vom netzanbieter abgerechnet bei maxenergy zahlt man nur den strom selbst pv einspeisung ist nicht mglich als tipp es ist eindeutig ratsamer eine email an das kundenservice zu schreiben als dort anzurufen mit anrufen sind wir oft nicht so zufrieden gewesen oder es wurde nicht das umgesetzt was besprochen wurde die versprochenen schritte vergessen usw usw per email klappt alles immer bestens und man hat es auch schriftlich was nie schadet  auf jeden fall ist immer schnell ein mitarbeiter verfgbar also passt die kommunikation und kontaktaufnahme auf jeden fall das ist nicht bei allen anbietern so wir finden das kundenservice gut und sind zufrieden auch wenn es manchmal ein paar extraschrittemhen bentigt  weiter so

translated by google
we are satisfied customers and are now entering our third year at maxenergy the prices are good and fair the change of provider went smoothly back then we have now changed our tariff with maxenergy for the third time and that also worked rather smoothly but see tip below the billing is understandable and clear even if we had to wait until the second billing to get the switching bonus because the first one wasnt yet 12 months over but then it was reliably included in the second billing after 1 year approximately 10 months network costs are billed separately by the network provider with maxenergy you only pay for the electricity yourself pv feedin is not possible as a tip it is clearly more advisable to write an email to customer service than to call them we were often not so satisfied with calls or what was discussed wasnt implemented the promised steps were forgotten etc everything always works perfectly via email and you also have it in writing which never hurts  in any case an employee is always available quickly so the communication and contact is definitely good thats not the case with all providers we think the customer service is good and are satisfied even if it sometimes requires a few extra stepseffort  keep it up",pos,5,2025-04,2568,429
